FILE NAME                 | TIER TYPE       | START TIME (sec)   | END TIME (sec)     | TEXT / SOUND   
0Nwr.TextGrid             | PHONES          | 0.2300             | 0.2900             | D              
0Nwr.TextGrid             | PHONES          | 0.2900             | 0.3500             | R              
0Nwr.TextGrid             | PHONES          | 0.3500             | 0.4500             | AO1            
0Nwr.TextGrid             | PHONES          | 0.4500             | 0.5600             | IH0            
0Nwr.TextGrid             | PHONES          | 0.5600             | 0.8600             | NG             


0Pbl.TextGrid             | WORDS           | 0.3400             | 0.5100             | we             
0Pbl.TextGrid             | WORDS           | 0.5100             | 0.7600             | can            
0Pbl.TextGrid             | WORDS           | 0.7600             | 1.0400             | munch          
0Pbl.TextGrid             | WORDS           | 1.0400             | 1.2700             | on             
0Pbl.TextGrid             | WORDS           | 1.2700             | 1.3300             | a              
0Pbl.TextGrid             | WORDS           | 1.3300             | 1.8100             | sandwich       
0Pbl.TextGrid             | WORDS           | 1.8100             | 1.9700             | for            
0Pbl.TextGrid             | WORDS           | 1.9700             | 2.3100             | lunch          
0Pbl.TextGrid             | WORDS           | 2.3100             | 2.3700             | at             
0Pbl.TextGrid             | WORDS           | 2.3700             | 2.6400             | the            
0Pbl.TextGrid             | WORDS           | 2.7500             | 3.2200             | beach          
0Pbl.TextGrid             | PHONES          | 0.3400             | 0.4000             | W              
0Pbl.TextGrid             | PHONES          | 0.4000             | 0.5100             | IY1            
0Pbl.TextGrid             | PHONES          | 0.5100             | 0.5900             | K              
0Pbl.TextGrid             | PHONES          | 0.5900             | 0.6500             | AE1            
0Pbl.TextGrid             | PHONES          | 0.6500             | 0.7600             | N              
0Pbl.TextGrid             | PHONES          | 0.7600             | 0.8000             | M              
0Pbl.TextGrid             | PHONES          | 0.8000             | 0.8800             | AH1            
0Pbl.TextGrid             | PHONES          | 0.8800             | 0.9600             | N              
0Pbl.TextGrid             | PHONES          | 0.9600             | 1.0400             | CH             
0Pbl.TextGrid             | PHONES          | 1.0400             | 1.2400             | AA1            
0Pbl.TextGrid             | PHONES          | 1.2400             | 1.2700             | N              
0Pbl.TextGrid             | PHONES          | 1.2700             | 1.3300             | AH0            
0Pbl.TextGrid             | PHONES          | 1.3300             | 1.4300             | S              
0Pbl.TextGrid             | PHONES          | 1.4300             | 1.5300             | AE1            
0Pbl.TextGrid             | PHONES          | 1.5300             | 1.5700             | N              
0Pbl.TextGrid             | PHONES          | 1.5700             | 1.6400             | D              
0Pbl.TextGrid             | PHONES          | 1.6400             | 1.6700             | W              
0Pbl.TextGrid             | PHONES          | 1.6700             | 1.7200             | IH0            
0Pbl.TextGrid             | PHONES          | 1.7200             | 1.8100             | CH             
0Pbl.TextGrid             | PHONES          | 1.8100             | 1.9100             | F              
0Pbl.TextGrid             | PHONES          | 1.9100             | 1.9400             | R              
0Pbl.TextGrid             | PHONES          | 1.9400             | 1.9700             | ER0            
0Pbl.TextGrid             | PHONES          | 1.9700             | 2.0900             | L              
0Pbl.TextGrid             | PHONES          | 2.0900             | 2.1600             | AH1            
0Pbl.TextGrid             | PHONES          | 2.1600             | 2.2300             | N              
0Pbl.TextGrid             | PHONES          | 2.2300             | 2.3100             | CH             
0Pbl.TextGrid             | PHONES          | 2.3100             | 2.3400             | AE1            
0Pbl.TextGrid             | PHONES          | 2.3400             | 2.3700             | T              
0Pbl.TextGrid             | PHONES          | 2.3700             | 2.4100             | DH             
0Pbl.TextGrid             | PHONES          | 2.4100             | 2.6400             | AH0            
0Pbl.TextGrid             | PHONES          | 2.7500             | 2.8000             | B              
0Pbl.TextGrid             | PHONES          | 2.8000             | 2.9400             | IY1            
0Pbl.TextGrid             | PHONES          | 2.9400             | 3.2200             | CH             


0QG0.TextGrid             | WORDS           | 0.3500             | 1.1600             | photograph     
0QG0.TextGrid             | PHONES          | 0.3500             | 0.4100             | F              
0QG0.TextGrid             | PHONES          | 0.4100             | 0.5200             | OW1            
0QG0.TextGrid             | PHONES          | 0.5200             | 0.6000             | T              
0QG0.TextGrid             | PHONES          | 0.6000             | 0.6800             | AH0            
0QG0.TextGrid             | PHONES          | 0.6800             | 0.7500             | G              
0QG0.TextGrid             | PHONES          | 0.7500             | 0.8100             | R              
0QG0.TextGrid             | PHONES          | 0.8100             | 0.9400             | AE2            
0QG0.TextGrid             | PHONES          | 0.9400             | 1.1600             | F              


0W0k.TextGrid             | WORDS           | 0.5700             | 1.4300             | invasion       
0W0k.TextGrid             | PHONES          | 0.5700             | 0.7000             | IH0            
0W0k.TextGrid             | PHONES          | 0.7000             | 0.8200             | N              
0W0k.TextGrid             | PHONES          | 0.8200             | 0.8600             | V              
0W0k.TextGrid             | PHONES          | 0.8600             | 1.0300             | EY1            
0W0k.TextGrid             | PHONES          | 1.0300             | 1.1400             | ZH             
0W0k.TextGrid             | PHONES          | 1.1400             | 1.1900             | AH0            
0W0k.TextGrid             | PHONES          | 1.1900             | 1.4300             | N              


0ehO.TextGrid             | WORDS           | 0.3700             | 1.1800             | preparation    
0ehO.TextGrid             | PHONES          | 0.3700             | 0.4000             | P              
0ehO.TextGrid             | PHONES          | 0.4000             | 0.4300             | R              
0ehO.TextGrid             | PHONES          | 0.4300             | 0.4900             | EH2            
0ehO.TextGrid             | PHONES          | 0.4900             | 0.5300             | P              
0ehO.TextGrid             | PHONES          | 0.5300             | 0.6900             | ER0            
0ehO.TextGrid             | PHONES          | 0.6900             | 0.8300             | EY1            
0ehO.TextGrid             | PHONES          | 0.8300             | 0.9600             | SH             
0ehO.TextGrid             | PHONES          | 0.9600             | 1.0600             | AH0            
0ehO.TextGrid             | PHONES          | 1.0600             | 1.1800             | N              


0fwK.TextGrid             | WORDS           | 0.2400             | 0.4100             | you            
0fwK.TextGrid             | WORDS           | 0.4100             | 0.8800             | enjoyed        
0fwK.TextGrid             | WORDS           | 0.8800             | 1.2400             | it             
0fwK.TextGrid             | PHONES          | 0.2400             | 0.3100             | Y              
0fwK.TextGrid             | PHONES          | 0.3100             | 0.4100             | UW1            
0fwK.TextGrid             | PHONES          | 0.4100             | 0.5000             | IH0            
0fwK.TextGrid             | PHONES          | 0.5000             | 0.5900             | N              
0fwK.TextGrid             | PHONES          | 0.5900             | 0.6500             | JH             
0fwK.TextGrid             | PHONES          | 0.6500             | 0.8100             | OY1            
0fwK.TextGrid             | PHONES          | 0.8100             | 0.8800             | D              
0fwK.TextGrid             | PHONES          | 0.8800             | 0.9300             | IH0            
0fwK.TextGrid             | PHONES          | 0.9300             | 1.2400             | T              


0hE5.TextGrid             | WORDS           | 0.3500             | 0.4400             | the            
0hE5.TextGrid             | WORDS           | 0.4400             | 1.0400             | proposal       
0hE5.TextGrid             | WORDS           | 1.0400             | 1.2600             | was            
0hE5.TextGrid             | WORDS           | 1.2600             | 1.3600             | to             
0hE5.TextGrid             | WORDS           | 1.3600             | 1.6800             | close          
0hE5.TextGrid             | WORDS           | 1.6800             | 1.8100             | the            
0hE5.TextGrid             | WORDS           | 1.8400             | 2.1000             | old            
0hE5.TextGrid             | WORDS           | 2.1000             | 2.3900             | cold           
0hE5.TextGrid             | WORDS           | 2.3900             | 2.8600             | storage        
0hE5.TextGrid             | WORDS           | 2.8600             | 3.3900             | factory        
0hE5.TextGrid             | PHONES          | 0.3500             | 0.3900             | DH             
0hE5.TextGrid             | PHONES          | 0.3900             | 0.4400             | IY0            
0hE5.TextGrid             | PHONES          | 0.4400             | 0.5500             | P              
0hE5.TextGrid             | PHONES          | 0.5500             | 0.5900             | R              
0hE5.TextGrid             | PHONES          | 0.5900             | 0.6500             | AH0            
0hE5.TextGrid             | PHONES          | 0.6500             | 0.7500             | P              
0hE5.TextGrid             | PHONES          | 0.7500             | 0.8400             | OW1            
0hE5.TextGrid             | PHONES          | 0.8400             | 0.9200             | Z              
0hE5.TextGrid             | PHONES          | 0.9200             | 0.9600             | AH0            
0hE5.TextGrid             | PHONES          | 0.9600             | 1.0400             | L              
0hE5.TextGrid             | PHONES          | 1.0400             | 1.1500             | W              
0hE5.TextGrid             | PHONES          | 1.1500             | 1.1900             | AH1            
0hE5.TextGrid             | PHONES          | 1.1900             | 1.2600             | Z              
0hE5.TextGrid             | PHONES          | 1.2600             | 1.3100             | T              
0hE5.TextGrid             | PHONES          | 1.3100             | 1.3600             | AH0            
0hE5.TextGrid             | PHONES          | 1.3600             | 1.4400             | K              
0hE5.TextGrid             | PHONES          | 1.4400             | 1.5200             | L              
0hE5.TextGrid             | PHONES          | 1.5200             | 1.6300             | OW1            
0hE5.TextGrid             | PHONES          | 1.6300             | 1.6800             | Z              
0hE5.TextGrid             | PHONES          | 1.6800             | 1.7100             | DH             
0hE5.TextGrid             | PHONES          | 1.7100             | 1.8100             | AH0            
0hE5.TextGrid             | PHONES          | 1.8400             | 1.8800             | OW1            
0hE5.TextGrid             | PHONES          | 1.8800             | 1.9800             | L              
0hE5.TextGrid             | PHONES          | 1.9800             | 2.1000             | D              
0hE5.TextGrid             | PHONES          | 2.1000             | 2.1900             | K              
0hE5.TextGrid             | PHONES          | 2.1900             | 2.2300             | OW1            
0hE5.TextGrid             | PHONES          | 2.2300             | 2.3200             | L              
0hE5.TextGrid             | PHONES          | 2.3200             | 2.3900             | D              
0hE5.TextGrid             | PHONES          | 2.3900             | 2.4800             | S              
0hE5.TextGrid             | PHONES          | 2.4800             | 2.5800             | T              
0hE5.TextGrid             | PHONES          | 2.5800             | 2.6400             | AO1            
0hE5.TextGrid             | PHONES          | 2.6400             | 2.7200             | R              
0hE5.TextGrid             | PHONES          | 2.7200             | 2.7800             | AH0            
0hE5.TextGrid             | PHONES          | 2.7800             | 2.8600             | JH             
0hE5.TextGrid             | PHONES          | 2.8600             | 2.9700             | F              
0hE5.TextGrid             | PHONES          | 2.9700             | 3.0400             | AE1            
0hE5.TextGrid             | PHONES          | 3.0400             | 3.1100             | K              
0hE5.TextGrid             | PHONES          | 3.1100             | 3.1800             | T              
0hE5.TextGrid             | PHONES          | 3.1800             | 3.2100             | ER0            
0hE5.TextGrid             | PHONES          | 3.2100             | 3.3900             | IY0            


0k6h.TextGrid             | WORDS           | 0.3200             | 0.4500             | the            
0k6h.TextGrid             | WORDS           | 0.4500             | 0.7200             | weather        
0k6h.TextGrid             | WORDS           | 0.7200             | 0.9500             | was            
0k6h.TextGrid             | WORDS           | 0.9500             | 1.3500             | terrible       
0k6h.TextGrid             | PHONES          | 0.3200             | 0.3800             | DH             
0k6h.TextGrid             | PHONES          | 0.3800             | 0.4500             | AH0            
0k6h.TextGrid             | PHONES          | 0.4500             | 0.5200             | W              
0k6h.TextGrid             | PHONES          | 0.5200             | 0.5800             | EH1            
0k6h.TextGrid             | PHONES          | 0.5800             | 0.6400             | DH             
0k6h.TextGrid             | PHONES          | 0.6400             | 0.7200             | ER0            
0k6h.TextGrid             | PHONES          | 0.7200             | 0.8100             | W              
0k6h.TextGrid             | PHONES          | 0.8100             | 0.8700             | AH1            
0k6h.TextGrid             | PHONES          | 0.8700             | 0.9500             | Z              
0k6h.TextGrid             | PHONES          | 0.9500             | 1.0400             | T              
0k6h.TextGrid             | PHONES          | 1.0400             | 1.0800             | EH1            
0k6h.TextGrid             | PHONES          | 1.0800             | 1.1500             | R              
0k6h.TextGrid             | PHONES          | 1.1500             | 1.1900             | AH0            
0k6h.TextGrid             | PHONES          | 1.1900             | 1.2700             | B              
0k6h.TextGrid             | PHONES          | 1.2700             | 1.2800             | AH0            
0k6h.TextGrid             | PHONES          | 1.2800             | 1.3500             | L              


0lXq.TextGrid             | WORDS           | 0.2500             | 0.9300             | composer       
0lXq.TextGrid             | PHONES          | 0.2500             | 0.2900             | K              
0lXq.TextGrid             | PHONES          | 0.2900             | 0.3300             | AH0            
0lXq.TextGrid             | PHONES          | 0.3300             | 0.4300             | M              
0lXq.TextGrid             | PHONES          | 0.4300             | 0.4800             | P              
0lXq.TextGrid             | PHONES          | 0.4800             | 0.5900             | OW1            
0lXq.TextGrid             | PHONES          | 0.5900             | 0.6800             | Z              
0lXq.TextGrid             | PHONES          | 0.6800             | 0.9300             | ER0            


0nQG.TextGrid             | WORDS           | 0.4900             | 0.7000             | they           
0nQG.TextGrid             | WORDS           | 0.7000             | 0.9300             | were           
0nQG.TextGrid             | WORDS           | 0.9300             | 1.4200             | pursuing       
0nQG.TextGrid             | WORDS           | 1.4200             | 1.7300             | him            
0nQG.TextGrid             | PHONES          | 0.4900             | 0.5700             | DH             
0nQG.TextGrid             | PHONES          | 0.5700             | 0.7000             | EY1            
0nQG.TextGrid             | PHONES          | 0.7000             | 0.7900             | W              
0nQG.TextGrid             | PHONES          | 0.7900             | 0.9300             | ER0            
0nQG.TextGrid             | PHONES          | 0.9300             | 1.0200             | P              
0nQG.TextGrid             | PHONES          | 1.0200             | 1.1200             | ER0            
0nQG.TextGrid             | PHONES          | 1.1200             | 1.2400             | S              
0nQG.TextGrid             | PHONES          | 1.2400             | 1.3000             | UW1            
0nQG.TextGrid             | PHONES          | 1.3000             | 1.3300             | IH0            
0nQG.TextGrid             | PHONES          | 1.3300             | 1.4200             | NG             
0nQG.TextGrid             | PHONES          | 1.4200             | 1.5000             | HH             
0nQG.TextGrid             | PHONES          | 1.5000             | 1.5700             | IH1            
0nQG.TextGrid             | PHONES          | 1.5700             | 1.7300             | M              


0nwd.TextGrid             | WORDS           | 0.3800             | 0.9000             | gazed          
0nwd.TextGrid             | PHONES          | 0.3800             | 0.4500             | G              
0nwd.TextGrid             | PHONES          | 0.4500             | 0.6100             | EY1            
0nwd.TextGrid             | PHONES          | 0.6100             | 0.7400             | Z              
0nwd.TextGrid             | PHONES          | 0.7400             | 0.9000             | D              


0s7j.TextGrid             | WORDS           | 0.5500             | 1.0900             | busy           
0s7j.TextGrid             | PHONES          | 0.5500             | 0.6000             | B              
0s7j.TextGrid             | PHONES          | 0.6000             | 0.6800             | IH1            
0s7j.TextGrid             | PHONES          | 0.6800             | 0.8100             | Z              
0s7j.TextGrid             | PHONES          | 0.8100             | 1.0900             | IY0            


0s9N.TextGrid             | WORDS           | 0.2100             | 0.3100             | the            
0s9N.TextGrid             | WORDS           | 0.3100             | 0.6600             | man            
0s9N.TextGrid             | WORDS           | 0.6600             | 0.9000             | didnt          
0s9N.TextGrid             | WORDS           | 0.9000             | 1.1100             | know           
0s9N.TextGrid             | WORDS           | 1.1100             | 1.4800             | whether        
0s9N.TextGrid             | WORDS           | 1.7900             | 1.9500             | the            
0s9N.TextGrid             | WORDS           | 1.9800             | 2.2800             | other          
0s9N.TextGrid             | WORDS           | 2.2800             | 2.7300             | book           
0s9N.TextGrid             | WORDS           | 2.9900             | 3.2400             | was            
0s9N.TextGrid             | WORDS           | 3.2400             | 3.5300             | there          
0s9N.TextGrid             | PHONES          | 0.2100             | 0.2600             | DH             
0s9N.TextGrid             | PHONES          | 0.2600             | 0.3100             | AH0            
0s9N.TextGrid             | PHONES          | 0.3100             | 0.4000             | M              
0s9N.TextGrid             | PHONES          | 0.4000             | 0.5500             | AE1            
0s9N.TextGrid             | PHONES          | 0.5500             | 0.6600             | N              
0s9N.TextGrid             | PHONES          | 0.6600             | 0.7100             | D              
0s9N.TextGrid             | PHONES          | 0.7100             | 0.7900             | IH1            
0s9N.TextGrid             | PHONES          | 0.7900             | 0.8700             | N              
0s9N.TextGrid             | PHONES          | 0.8700             | 0.9000             | T              
0s9N.TextGrid             | PHONES          | 0.9000             | 0.9400             | N              
0s9N.TextGrid             | PHONES          | 0.9400             | 1.1100             | OW1            
0s9N.TextGrid             | PHONES          | 1.1100             | 1.2000             | W              
0s9N.TextGrid             | PHONES          | 1.2000             | 1.2800             | EH1            
0s9N.TextGrid             | PHONES          | 1.2800             | 1.3500             | DH             
0s9N.TextGrid             | PHONES          | 1.3500             | 1.4800             | ER0            
0s9N.TextGrid             | PHONES          | 1.7900             | 1.8600             | DH             
0s9N.TextGrid             | PHONES          | 1.8600             | 1.9500             | IY0            
0s9N.TextGrid             | PHONES          | 1.9800             | 2.0900             | AH1            
0s9N.TextGrid             | PHONES          | 2.0900             | 2.2000             | DH             
0s9N.TextGrid             | PHONES          | 2.2000             | 2.2800             | ER0            
0s9N.TextGrid             | PHONES          | 2.2800             | 2.4000             | B              
0s9N.TextGrid             | PHONES          | 2.4000             | 2.5200             | UH1            
0s9N.TextGrid             | PHONES          | 2.5200             | 2.7300             | K              
0s9N.TextGrid             | PHONES          | 2.9900             | 3.0600             | W              
0s9N.TextGrid             | PHONES          | 3.0600             | 3.1500             | AH1            
0s9N.TextGrid             | PHONES          | 3.1500             | 3.2400             | Z              
0s9N.TextGrid             | PHONES          | 3.2400             | 3.2700             | DH             
0s9N.TextGrid             | PHONES          | 3.2700             | 3.4800             | EH1            
0s9N.TextGrid             | PHONES          | 3.4800             | 3.5300             | R              


0sCi.TextGrid             | WORDS           | 0.4300             | 0.8900             | music          
0sCi.TextGrid             | PHONES          | 0.4300             | 0.4900             | M              
0sCi.TextGrid             | PHONES          | 0.4900             | 0.5500             | Y              
0sCi.TextGrid             | PHONES          | 0.5500             | 0.6900             | UW1            
0sCi.TextGrid             | PHONES          | 0.6900             | 0.7600             | Z              
0sCi.TextGrid             | PHONES          | 0.7600             | 0.8600             | IH0            
0sCi.TextGrid             | PHONES          | 0.8600             | 0.8900             | K              


0tYU.TextGrid             | WORDS           | 0.4100             | 0.6700             | breathe        
0tYU.TextGrid             | PHONES          | 0.4100             | 0.4700             | B              
0tYU.TextGrid             | PHONES          | 0.4700             | 0.5400             | R              
0tYU.TextGrid             | PHONES          | 0.5400             | 0.6400             | IY1            
0tYU.TextGrid             | PHONES          | 0.6400             | 0.6700             | DH             


0uFz.TextGrid             | WORDS           | 0.4400             | 1.0200             | moth           
0uFz.TextGrid             | PHONES          | 0.4400             | 0.5000             | M              
0uFz.TextGrid             | PHONES          | 0.5000             | 0.7600             | AO1            
0uFz.TextGrid             | PHONES          | 0.7600             | 1.0200             | TH             


0xPW.TextGrid             | WORDS           | 0.6800             | 1.2900             | thought        
0xPW.TextGrid             | PHONES          | 0.6800             | 0.7600             | TH             
0xPW.TextGrid             | PHONES          | 0.7600             | 0.9100             | AA1            
0xPW.TextGrid             | PHONES          | 0.9100             | 1.2900             | T              


11Z5.TextGrid             | WORDS           | 0.3100             | 0.5200             | give           
11Z5.TextGrid             | WORDS           | 0.5200             | 0.7700             | him            
11Z5.TextGrid             | WORDS           | 0.7700             | 1.1600             | too            
11Z5.TextGrid             | PHONES          | 0.3100             | 0.3800             | G              
11Z5.TextGrid             | PHONES          | 0.3800             | 0.4600             | IH1            
11Z5.TextGrid             | PHONES          | 0.4600             | 0.5200             | V              
11Z5.TextGrid             | PHONES          | 0.5200             | 0.5900             | HH             
11Z5.TextGrid             | PHONES          | 0.5900             | 0.6500             | IH1            
11Z5.TextGrid             | PHONES          | 0.6500             | 0.7700             | M              
11Z5.TextGrid             | PHONES          | 0.7700             | 0.8400             | T              
11Z5.TextGrid             | PHONES          | 0.8400             | 1.1600             | UW1            


145q.TextGrid             | WORDS           | 0.2900             | 1.0300             | betrayal       
145q.TextGrid             | PHONES          | 0.2900             | 0.3400             | B              
145q.TextGrid             | PHONES          | 0.3400             | 0.3800             | IH0            
145q.TextGrid             | PHONES          | 0.3800             | 0.5000             | T              
145q.TextGrid             | PHONES          | 0.5000             | 0.5500             | R              
145q.TextGrid             | PHONES          | 0.5500             | 0.6800             | EY1            
145q.TextGrid             | PHONES          | 0.6800             | 0.8100             | AH0            
145q.TextGrid             | PHONES          | 0.8100             | 1.0300             | L              


14zF.TextGrid             | WORDS           | 0.4800             | 0.5600             | the            
14zF.TextGrid             | WORDS           | 0.5600             | 1.2600             | coalition      
14zF.TextGrid             | WORDS           | 1.2600             | 1.4500             | was            
14zF.TextGrid             | WORDS           | 1.4500             | 1.5600             | to             
14zF.TextGrid             | WORDS           | 1.5600             | 1.9000             | prove          
14zF.TextGrid             | WORDS           | 1.9300             | 2.7400             | inadvisable    
14zF.TextGrid             | PHONES          | 0.4800             | 0.5200             | DH             
14zF.TextGrid             | PHONES          | 0.5200             | 0.5600             | AH0            
14zF.TextGrid             | PHONES          | 0.5600             | 0.6800             | K              
14zF.TextGrid             | PHONES          | 0.6800             | 0.8300             | OW2            
14zF.TextGrid             | PHONES          | 0.8300             | 0.8400             | AH0            
14zF.TextGrid             | PHONES          | 0.8400             | 0.9000             | L              
14zF.TextGrid             | PHONES          | 0.9000             | 0.9500             | IH1            
14zF.TextGrid             | PHONES          | 0.9500             | 1.0700             | SH             
14zF.TextGrid             | PHONES          | 1.0700             | 1.1200             | AH0            
14zF.TextGrid             | PHONES          | 1.1200             | 1.2600             | N              
14zF.TextGrid             | PHONES          | 1.2600             | 1.3100             | W              
14zF.TextGrid             | PHONES          | 1.3100             | 1.3700             | AH1            
14zF.TextGrid             | PHONES          | 1.3700             | 1.4500             | Z              
14zF.TextGrid             | PHONES          | 1.4500             | 1.5200             | T              
14zF.TextGrid             | PHONES          | 1.5200             | 1.5600             | AH0            
14zF.TextGrid             | PHONES          | 1.5600             | 1.6700             | P              
14zF.TextGrid             | PHONES          | 1.6700             | 1.7100             | R              
14zF.TextGrid             | PHONES          | 1.7100             | 1.8300             | UW1            
14zF.TextGrid             | PHONES          | 1.8300             | 1.9000             | V              
14zF.TextGrid             | PHONES          | 1.9300             | 2.0200             | IH0            
14zF.TextGrid             | PHONES          | 2.0200             | 2.1400             | N              
14zF.TextGrid             | PHONES          | 2.1400             | 2.2000             | AE0            
14zF.TextGrid             | PHONES          | 2.2000             | 2.2600             | D              
14zF.TextGrid             | PHONES          | 2.2600             | 2.2900             | V              
14zF.TextGrid             | PHONES          | 2.2900             | 2.4100             | AY1            
14zF.TextGrid             | PHONES          | 2.4100             | 2.4900             | Z              
14zF.TextGrid             | PHONES          | 2.4900             | 2.5400             | AH0            
14zF.TextGrid             | PHONES          | 2.5400             | 2.6000             | B              
14zF.TextGrid             | PHONES          | 2.6000             | 2.6100             | AH0            
14zF.TextGrid             | PHONES          | 2.6100             | 2.7400             | L              


1As8.TextGrid             | WORDS           | 0.5300             | 1.2700             | sock           
1As8.TextGrid             | PHONES          | 0.5300             | 0.7100             | S              
1As8.TextGrid             | PHONES          | 0.7100             | 0.9300             | AA1            
1As8.TextGrid             | PHONES          | 0.9300             | 1.2700             | K              


1Cfi.TextGrid             | WORDS           | 0.3800             | 0.5000             | he             
1Cfi.TextGrid             | WORDS           | 0.5000             | 0.7100             | took           
1Cfi.TextGrid             | WORDS           | 0.7100             | 0.8000             | a              
1Cfi.TextGrid             | WORDS           | 0.8000             | 1.1000             | rest           
1Cfi.TextGrid             | WORDS           | 1.1000             | 1.3700             | when           
1Cfi.TextGrid             | WORDS           | 1.3700             | 1.4800             | he             
1Cfi.TextGrid             | WORDS           | 1.4800             | 1.8600             | could          
1Cfi.TextGrid             | PHONES          | 0.3800             | 0.4200             | HH             
1Cfi.TextGrid             | PHONES          | 0.4200             | 0.5000             | IY1            
1Cfi.TextGrid             | PHONES          | 0.5000             | 0.5600             | T              
