=========================================================================================================================
                                   PER-WORD COMPREHENSIVE DIFFERENCE REPORT
  Mean Start Difference: 0.046088s | Mean End Difference: 0.065203s | Threshold: 0.130405s
=========================================================================================================================
FILE NAME          | WORD         | HUMAN START  | HUMAN END   | MACH START  | MACH END   | START DIFF  | END DIFF   | STATUS  
1As8               | SOCK         | 0.5566     s | 1.0953    s | 0.5300    s | 1.2700   s | 0.02660   s | 0.17466  s | FLAGGED 
23wf               | HE           | 0.2666     s | 0.3913    s | 0.2000    s | 0.3700   s | 0.06661   s | 0.02125  s | SAFE    
23wf               | HAS          | 0.3913     s | 0.6042    s | 0.3700    s | 0.6000   s | 0.02125   s | 0.00419  s | SAFE    
23wf               | TO           | 0.6042     s | 0.6769    s | 0.6000    s | 0.7300   s | 0.00419   s | 0.05310  s | SAFE    
23wf               | HAVE         | 0.6977     s | 0.9002    s | 0.7300    s | 0.9300   s | 0.03232   s | 0.02977  s | SAFE    
23wf               | HIS          | 0.9002     s | 1.0716    s | 0.9300    s | 1.0400   s | 0.02977   s | 0.03162  s | SAFE    
23wf               | APPLE        | 1.1097     s | 1.5165    s | 1.0400    s | 1.5500   s | 0.06970   s | 0.03346  s | SAFE    
23wf               | AFTER        | 1.6066     s | 1.8091    s | 1.5500    s | 1.8200   s | 0.05656   s | 0.01089  s | SAFE    
23wf               | THE          | 1.8091     s | 1.9788    s | 1.8200    s | 1.8900   s | 0.01089   s | 0.08877  s | SAFE    
23wf               | HAM          | 1.9788     s | 2.1952    s | 1.8900    s | 2.2500   s | 0.08877   s | 0.05483  s | SAFE    
24HE               | ONE          | 0.3629     s | 0.4810    s | 0.3300    s | 0.5300   s | 0.03287   s | 0.04904  s | SAFE    
24HE               | AND          | 0.4810     s | 0.6507    s | 0.5300    s | 0.6700   s | 0.04904   s | 0.01929  s | SAFE    
24HE               | A            | 0.6507     s | 0.6925    s | 0.6700    s | 0.8000   s | 0.01929   s | 0.10747  s | SAFE    
24HE               | HALF         | 0.6925     s | 1.0222    s | 0.8000    s | 1.1600   s | 0.10747   s | 0.13781  s | FLAGGED 
259j               | WHO          | 0.4310     s | 0.5564    s | 0.3600    s | 0.5100   s | 0.07098   s | 0.04636  s | MISMATCH
259j               | TOOK         | 0.5564     s | 0.7190    s | 0.5100    s | 0.6500   s | 0.04636   s | 0.06895  s | MISMATCH
259j               | THE          | 0.7190     s | 0.8443    s | 0.6500    s | 0.9500   s | 0.06895   s | 0.10567  s | MISMATCH
259j               | KAYAK        | 1.0657     s | 1.5261    s | 1.0400    s | 1.5700   s | 0.02570   s | 0.04394  s | MISMATCH
259j               | DOWN         | 1.5554     s | 1.9884    s | 1.5700    s | 1.8900   s | 0.01456   s | 0.09838  s | MISMATCH
259j               | BAYOU        | 2.0295     s | 2.3018    s | 1.9600    s | 2.3800   s | 0.06952   s | 0.07818  s | MISMATCH
2aqo               | COAL         | 0.4969     s | 0.9028    s | 0.4700    s | 0.9700   s | 0.02686   s | 0.06717  s | SAFE    
356c               | LOCK         | 1.3666     s | 1.7485    s | 1.3300    s | 1.8300   s | 0.03661   s | 0.08153  s | SAFE    
375k               | TAKE         | 0.3462     s | 0.4466    s | 0.3300    s | 0.5300   s | 0.01615   s | 0.08344  s | SAFE    
375k               | THEM         | 0.4466     s | 0.7108    s | 0.5300    s | 0.7000   s | 0.08344   s | 0.01080  s | SAFE    
375k               | FOR          | 0.7108     s | 0.9169    s | 0.7000    s | 0.8600   s | 0.01080   s | 0.05690  s | SAFE    
375k               | A            | 0.9169     s | 0.9605    s | 0.8600    s | 0.9100   s | 0.05690   s | 0.05050  s | SAFE    
375k               | WALK         | 0.9605     s | 1.2604    s | 0.9100    s | 1.3700   s | 0.05050   s | 0.10959  s | SAFE    
37AI               | CHOP         | 0.5147     s | 0.9328    s | 0.4800    s | 1.0200   s | 0.03472   s | 0.08720  s | SAFE    
39g2               | LEAK         | 0.5026     s | 0.9441    s | 0.5000    s | 1.0200   s | 0.00264   s | 0.07590  s | SAFE    
3BE8               | WRECK        | 0.2590     s | 0.7073    s | 0.2400    s | 0.8000   s | 0.01900   s | 0.09271  s | SAFE    
40iu               | OBJECT       | 0.6800     s | 1.2062    s | 0.6600    s | 1.2500   s | 0.01995   s | 0.04385  s | SAFE    
44aT               | BARKS        | 0.2982     s | 0.7760    s | 0.3000    s | 0.8300   s | 0.00182   s | 0.05396  s | SAFE    
45YE               | PROVIDE      | 0.3741     s | 0.8065    s | 0.3200    s | 1.0500   s | 0.05408   s | 0.24349  s | FLAGGED 
4bP8               | NEED         | 0.5618     s | 0.9297    s | 0.5300    s | 1.0400   s | 0.03178   s | 0.11034  s | SAFE    
53Aj               | HELP         | 0.3412     s | 0.6238    s | 0.3800    s | 0.6600   s | 0.03877   s | 0.03622  s | SAFE    
59Dp               | SLOW         | 0.4564     s | 0.8352    s | 0.3200    s | 0.9200   s | 0.13636   s | 0.08478  s | FLAGGED 
5bmz               | OBTAIN       | 0.3338     s | 0.8210    s | 0.3300    s | 0.9300   s | 0.00380   s | 0.10904  s | SAFE    
62NS               | THE          | 0.5046     s | 0.6799    s | 0.5100    s | 0.6500   s | 0.00540   s | 0.02991  s | SAFE    
62NS               | WOMAN        | 0.6799     s | 1.0471    s | 0.6500    s | 1.0900   s | 0.02991   s | 0.04289  s | SAFE    
62NS               | WAS          | 1.0637     s | 1.3740    s | 1.0900    s | 1.2700   s | 0.02631   s | 0.10403  s | SAFE    
62NS               | SWIMMING     | 1.3835     s | 1.7057    s | 1.2700    s | 1.6600   s | 0.11351   s | 0.04570  s | SAFE    
62NS               | BETWEEN      | 1.7389     s | 2.0350    s | 1.6600    s | 2.0000   s | 0.07886   s | 0.03499  s | SAFE    
62NS               | THE          | 2.0350     s | 2.1416    s | 2.0000    s | 2.0800   s | 0.03499   s | 0.06160  s | SAFE    
62NS               | FLAGS        | 2.1511     s | 2.5254    s | 2.0800    s | 2.7100   s | 0.07107   s | 0.18462  s | FLAGGED 
641Z               | COME         | 0.3087     s | 0.5216    s | 0.2800    s | 0.4900   s | 0.02866   s | 0.03164  s | SAFE    
641Z               | AT           | 0.5216     s | 0.6481    s | 0.4900    s | 0.6500   s | 0.03164   s | 0.00194  s | SAFE    
641Z               | ONCE         | 0.6481     s | 1.0706    s | 0.6500    s | 1.1900   s | 0.00194   s | 0.11938  s | SAFE    
64az               | BOWING       | 0.1993     s | 0.6782    s | 0.2600    s | 0.8600   s | 0.06073   s | 0.18182  s | FLAGGED 
68Dv               | JUNK         | 0.3599     s | 0.8565    s | 0.4200    s | 0.8500   s | 0.06009   s | 0.00649  s | SAFE    
6aAy               | MOUTH        | 0.4598     s | 0.9479    s | 0.4400    s | 1.0200   s | 0.01985   s | 0.07206  s | SAFE    
71K0               | DISBELIEVE   | 0.1755     s | 0.9882    s | 0.3400    s | 1.0100   s | 0.16451   s | 0.02185  s | FLAGGED 
73Se               | SCREW        | 0.2908     s | 1.0744    s | 0.3400    s | 0.9300   s | 0.04916   s | 0.14440  s | FLAGGED 
74LO               | THE          | 0.2279     s | 0.3586    s | 0.1900    s | 0.2800   s | 0.03788   s | 0.07863  s | SAFE    
74LO               | LARGEST      | 0.3586     s | 0.7341    s | 0.2800    s | 0.8500   s | 0.07863   s | 0.11592  s | SAFE    
74LO               | BOUGH        | 0.7528     s | 1.1805    s | 0.8500    s | 0.9400   s | 0.09724   s | 0.24050  s | FLAGGED 
74LO               | ON           | 1.1805     s | 1.3281    s | 0.9400    s | 1.3000   s | 0.24050   s | 0.02806  s | FLAGGED 
74LO               | THE          | 1.3281     s | 1.4457    s | 1.3000    s | 1.4000   s | 0.02806   s | 0.04574  s | SAFE    
74LO               | TREE         | 1.4457     s | 1.7147    s | 1.4000    s | 1.6400   s | 0.04574   s | 0.07472  s | SAFE    
74LO               | FELL         | 1.7483     s | 1.9108    s | 1.6400    s | 1.8900   s | 0.10834   s | 0.02084  s | SAFE    
74LO               | TO           | 1.9108     s | 1.9669    s | 1.8900    s | 1.9600   s | 0.02084   s | 0.00688  s | SAFE    
74LO               | THE          | 1.9669     s | 2.0416    s | 1.9600    s | 2.0500   s | 0.00688   s | 0.00840  s | SAFE    
74LO               | GROUND       | 2.0416     s | 2.2601    s | 2.0500    s | 2.3700   s | 0.00840   s | 0.10986  s | SAFE    
76Ev               | PROVING      | 0.9590     s | 1.5611    s | 0.9500    s | 1.4800   s | 0.00903   s | 0.08108  s | SAFE    
79PV               | LACK         | 0.3710     s | 0.7552    s | 0.3500    s | 0.8300   s | 0.02103   s | 0.07483  s | SAFE    
7aRS               | CAB          | 0.5252     s | 0.9349    s | 0.5200    s | 0.9300   s | 0.00524   s | 0.00485  s | SAFE    
81vO               | YOU          | 0.2462     s | 0.4605    s | 0.2300    s | 0.4500   s | 0.01620   s | 0.01050  s | SAFE    
81vO               | HAVE         | 0.4605     s | 0.7233    s | 0.4500    s | 0.6900   s | 0.01050   s | 0.03328  s | SAFE    
81vO               | BROKEN       | 0.7233     s | 1.0651    s | 0.6900    s | 1.0600   s | 0.03328   s | 0.00515  s | SAFE    
81vO               | IT           | 1.0651     s | 1.2718    s | 1.0600    s | 1.3500   s | 0.00515   s | 0.07820  s | SAFE    
821e               | LACKING      | 0.4692     s | 1.1173    s | 0.4700    s | 1.0500   s | 0.00075   s | 0.06731  s | SAFE    
83lH               | HALVE        | 0.9190     s | 1.5365    s | 0.9000    s | 1.6100   s | 0.01902   s | 0.07345  s | SAFE    
86yH               | IS           | 0.3575     s | 0.4677    s | 0.3300    s | 0.4700   s | 0.02749   s | 0.00230  s | SAFE    
86yH               | THERE        | 0.4677     s | 0.6209    s | 0.4700    s | 0.6400   s | 0.00230   s | 0.01909  s | SAFE    
86yH               | ANYTHING     | 0.6209     s | 0.9757    s | 0.6400    s | 1.0200   s | 0.01909   s | 0.04428  s | SAFE    
86yH               | ELSE         | 1.0053     s | 1.2364    s | 1.0200    s | 1.2500   s | 0.01472   s | 0.01355  s | SAFE    
86yH               | YOU          | 1.2364     s | 1.3413    s | 1.2500    s | 1.3200   s | 0.01355   s | 0.02128  s | SAFE    
86yH               | NEED         | 1.3386     s | 1.5348    s | 1.3200    s | 1.5000   s | 0.01859   s | 0.03481  s | SAFE    
86yH               | SIR          | 1.5348     s | 1.8278    s | 1.5000    s | 1.7900   s | 0.03481   s | 0.03779  s | SAFE    
86yH               | TIES         | 1.9004     s | 2.1692    s | 1.8800    s | 2.3100   s | 0.02036   s | 0.14084  s | FLAGGED 
86yH               | SOCKS        | 2.1692     s | 2.6395    s | 2.3100    s | 2.7000   s | 0.14084   s | 0.06046  s | FLAGGED 
86yH               | VESTS        | 2.7928     s | 3.1368    s | 2.7800    s | 3.2400   s | 0.01276   s | 0.10319  s | SAFE    
8agL               | THE          | 0.1594     s | 0.3237    s | 0.1600    s | 0.3100   s | 0.00064   s | 0.01374  s | SAFE    
8agL               | RAG          | 0.3237     s | 0.6605    s | 0.3100    s | 0.6600   s | 0.01374   s | 0.00050  s | SAFE    
8agL               | WAS          | 0.6605     s | 0.9091    s | 0.6600    s | 0.9000   s | 0.00050   s | 0.00907  s | SAFE    
8agL               | OILY         | 0.9091     s | 1.2438    s | 0.9000    s | 1.2900   s | 0.00907   s | 0.04617  s | SAFE    
91cZ               | BEAUTY       | 0.3759     s | 0.9812    s | 0.4200    s | 0.9800   s | 0.04415   s | 0.00123  s | SAFE    
93Zh               | I            | 0.2315     s | 0.4059    s | 0.2200    s | 0.3800   s | 0.01153   s | 0.02592  s | MISMATCH
93Zh               | DRIVE        | 0.7457     s | 1.0268    s | 0.7100    s | 1.0200   s | 0.03570   s | 0.00683  s | MISMATCH
93Zh               | TOO          | 1.0479     s | 1.2599    s | 1.0200    s | 1.1700   s | 0.02788   s | 0.08986  s | MISMATCH
93Zh               | FAST         | 1.2599     s | 1.6447    s | 1.1700    s | 1.5300   s | 0.08986   s | 0.11474  s | MISMATCH
96Jw               | SQUARE       | 0.3453     s | 0.9294    s | 0.3600    s | 1.1000   s | 0.01467   s | 0.17062  s | FLAGGED 
97ME               | THOUGH       | 0.3892     s | 0.9356    s | 0.3800    s | 1.0100   s | 0.00924   s | 0.07437  s | SAFE    
9AnG               | I            | 0.2992     s | 0.4074    s | 0.2800    s | 0.3600   s | 0.01918   s | 0.04743  s | SAFE    
9AnG               | BOUGHT       | 0.4074     s | 0.7186    s | 0.3600    s | 0.7000   s | 0.04743   s | 0.01863  s | SAFE    
9AnG               | IT           | 0.7186     s | 0.8449    s | 0.7000    s | 0.8000   s | 0.01863   s | 0.04492  s | SAFE    
9AnG               | HERE         | 0.8765     s | 0.9908    s | 0.8000    s | 1.0400   s | 0.07649   s | 0.04925  s | SAFE    
9AnG               | SIX          | 1.1155     s | 1.3358    s | 1.0400    s | 1.3600   s | 0.07553   s | 0.02421  s | SAFE    
9AnG               | MONTHS       | 1.3358     s | 1.5861    s | 1.3600    s | 1.6000   s | 0.02421   s | 0.01389  s | SAFE    
9AnG               | AGO          | 1.6102     s | 1.8537    s | 1.6000    s | 1.9100   s | 0.01016   s | 0.05629  s | SAFE    
9MH3               | IT           | 0.7134     s | 0.8077    s | 0.7000    s | 0.8000   s | 0.01344   s | 0.00775  s | MISMATCH
9UkD               | I            | 0.3641     s | 0.4711    s | 0.2800    s | 0.3600   s | 0.08410   s | 0.11114  s | MISMATCH
ABFk               | HOWEVER      | 0.4777     s | 0.9354    s | 0.4600    s | 0.9100   s | 0.01772   s | 0.02535  s | SAFE    
ABFk               | A            | 0.9554     s | 1.0492    s | 0.9400    s | 1.0000   s | 0.01544   s | 0.04920  s | SAFE    
ABFk               | LIVELY       | 1.4254     s | 1.7479    s | 1.4200    s | 1.8300   s | 0.00535   s | 0.08207  s | SAFE    
ABFk               | EYES         | 1.7792     s | 2.0158    s | 1.8300    s | 2.1000   s | 0.05082   s | 0.08419  s | SAFE    
ABFk               | MIGHT        | 2.1118     s | 2.3082    s | 2.1000    s | 2.3800   s | 0.01180   s | 0.07175  s | SAFE    
ABFk               | ROVE         | 2.3507     s | 2.6230    s | 2.3800    s | 2.7700   s | 0.02934   s | 0.14699  s | FLAGGED 
ACTa               | PROVED       | 0.4490     s | 0.8860    s | 0.4300    s | 0.9600   s | 0.01902   s | 0.07399  s | SAFE    
ACYP               | WHO          | 0.3599     s | 0.5091    s | 0.3500    s | 0.4400   s | 0.00991   s | 0.06911  s | SAFE    
ACYP               | WOULD        | 0.5091     s | 0.7563    s | 0.4400    s | 0.7500   s | 0.06911   s | 0.00626  s | SAFE    
ACYP               | TAKE         | 0.7563     s | 0.9362    s | 0.7500    s | 0.9800   s | 0.00626   s | 0.04378  s | SAFE    
ACYP               | OVER         | 0.9362     s | 1.2415    s | 0.9800    s | 1.3900   s | 0.04378   s | 0.14854  s | FLAGGED 
ADKY               | WHERE        | 0.4863     s | 0.6936    s | 0.4600    s | 0.7100   s | 0.02633   s | 0.01638  s | SAFE    
ADKY               | IS           | 0.6936     s | 0.8180    s | 0.7100    s | 0.8200   s | 0.01638   s | 0.00200  s | SAFE    
ADKY               | MY           | 0.8180     s | 0.9998    s | 0.8200    s | 0.9700   s | 0.00200   s | 0.02977  s | SAFE    
ADKY               | SOUP         | 0.9998     s | 1.2804    s | 0.9700    s | 1.3000   s | 0.02977   s | 0.01959  s | SAFE    
ADKY               | SPOON        | 1.2804     s | 1.7030    s | 1.3000    s | 1.7600   s | 0.01959   s | 0.05704  s | SAFE    
ADYr               | SAVOUR       | 0.7212     s | 1.2805    s | 0.6800    s | 1.4000   s | 0.04122   s | 0.11951  s | SAFE    
AEfI               | CASTLE       | 0.4964     s | 0.9534    s | 0.5000    s | 1.0300   s | 0.00360   s | 0.07656  s | SAFE    
AHPD               | FLYER        | 0.3636     s | 0.7975    s | 0.2500    s | 0.8600   s | 0.11355   s | 0.06251  s | SAFE    
ANOh               | DONE         | 0.3715     s | 0.9152    s | 0.4700    s | 0.8900   s | 0.09852   s | 0.02517  s | SAFE    
AQmD               | FIND         | 0.5138     s | 0.9280    s | 0.4200    s | 1.0400   s | 0.09376   s | 0.11198  s | SAFE    
ARiC               | MOTTLED      | 0.5118     s | 1.1031    s | 0.5300    s | 1.2200   s | 0.01816   s | 0.11690  s | SAFE    
ASvt               | HAVE         | 0.5172     s | 0.6264    s | 0.4100    s | 0.6800   s | 0.10718   s | 0.05358  s | SAFE    
ASvt               | SOME         | 0.6264     s | 0.8840    s | 0.6800    s | 0.8600   s | 0.05358   s | 0.02401  s | SAFE    
ASvt               | CHEESE       | 0.8840     s | 1.1897    s | 0.8600    s | 1.2500   s | 0.02401   s | 0.06030  s | SAFE    
ATuq               | OBLIGE       | 0.4634     s | 1.1698    s | 0.4500    s | 1.2300   s | 0.01338   s | 0.06018  s | SAFE    
AUEH               | LARKS        | 0.5010     s | 1.0423    s | 0.5100    s | 1.0500   s | 0.00895   s | 0.00772  s | SAFE    
AV12               | DRAW         | 0.3707     s | 0.8168    s | 0.4100    s | 0.8900   s | 0.03934   s | 0.07324  s | SAFE    
AWaf               | THEY         | 0.8115     s | 1.2732    s | 0.8000    s | 1.1800   s | 0.01152   s | 0.09322  s | SAFE    
AYIS               | HE           | 0.2720     s | 0.4360    s | 0.1600    s | 0.3800   s | 0.11198   s | 0.05599  s | SAFE    
AYIS               | COULD        | 0.4510     s | 0.6957    s | 0.3800    s | 0.6200   s | 0.07103   s | 0.07567  s | SAFE    
AYIS               | HAVE         | 0.6957     s | 0.9103    s | 0.6200    s | 0.9600   s | 0.07567   s | 0.04975  s | SAFE    
AYIS               | AVOIDED      | 0.9294     s | 1.3804    s | 0.9600    s | 1.3800   s | 0.03061   s | 0.00041  s | SAFE    
AYIS               | IT           | 1.3804     s | 1.5909    s | 1.3800    s | 1.7000   s | 0.00041   s | 0.10911  s | SAFE    
AcLI               | I            | 0.2487     s | 0.3406    s | 0.2000    s | 0.3200   s | 0.04875   s | 0.02059  s | MISMATCH
AcLI               | LIKE         | 0.3406     s | 0.5243    s | 0.3200    s | 0.5800   s | 0.02059   s | 0.05572  s | MISMATCH
AcLI               | YOUR         | 0.5243     s | 0.7284    s | 0.5800    s | 0.6800   s | 0.05572   s | 0.04838  s | MISMATCH
AcLI               | HAT          | 0.7284     s | 1.0562    s | 0.6800    s | 0.8000   s | 0.04838   s | 0.25622  s | MISMATCH
AdPd               | OH           | 0.1954     s | 0.3232    s | 0.1800    s | 0.3100   s | 0.01544   s | 0.01323  s | SAFE    
AdPd               | ALL          | 0.3232     s | 0.5563    s | 0.3100    s | 0.5300   s | 0.01323   s | 0.02626  s | SAFE    
AdPd               | RIGHT        | 0.5563     s | 0.7728    s | 0.5300    s | 0.8600   s | 0.02626   s | 0.08724  s | SAFE    
AdPd               | TAKE         | 1.0749     s | 1.2178    s | 1.0500    s | 1.2200   s | 0.02494   s | 0.00223  s | SAFE    
AdPd               | IT           | 1.2178     s | 1.4012    s | 1.2200    s | 1.3900   s | 0.00223   s | 0.01119  s | SAFE    
AdPd               | HOW          | 1.4493     s | 1.5906    s | 1.4300    s | 1.5100   s | 0.01929   s | 0.08061  s | SAFE    
AdPd               | MUCH         | 1.5906     s | 1.7304    s | 1.5100    s | 1.6800   s | 0.08061   s | 0.05043  s | SAFE    
AdPd               | IS           | 1.7304     s | 1.8176    s | 1.6800    s | 1.8200   s | 0.05043   s | 0.00237  s | SAFE    
AdPd               | IT           | 1.8372     s | 1.9800    s | 1.8200    s | 1.9100   s | 0.01717   s | 0.07000  s | SAFE    
AeLJ               | REFUSE       | 0.6815     s | 1.4050    s | 0.6600    s | 1.4900   s | 0.02155   s | 0.08499  s | SAFE    
Afvo               | THIN         | 1.1630     s | 1.6152    s | 1.1500    s | 1.6400   s | 0.01300   s | 0.02483  s | SAFE    
AgaW               | CYST         | 0.5672     s | 1.0560    s | 0.5500    s | 1.0700   s | 0.01717   s | 0.01402  s | SAFE    
AkHN               | WHAT         | 0.2966     s | 0.6424    s | 0.2900    s | 0.6300   s | 0.00658   s | 0.01237  s | SAFE    
AkHN               | TIME         | 0.6424     s | 0.9171    s | 0.6300    s | 0.8800   s | 0.01237   s | 0.03708  s | SAFE    
AkHN               | IS           | 0.9171     s | 0.9923    s | 0.8800    s | 0.9600   s | 0.03708   s | 0.03226  s | SAFE    
AkHN               | THE          | 0.9923     s | 1.1180    s | 0.9600    s | 1.0700   s | 0.03226   s | 0.04800  s | SAFE    
AkHN               | WEDDING      | 1.1180     s | 1.5021    s | 1.0700    s | 1.5000   s | 0.04800   s | 0.00205  s | SAFE    
AmTD               | FARM         | 0.4636     s | 0.8711    s | 0.3600    s | 0.8700   s | 0.10360   s | 0.00107  s | SAFE    
AnWg               | ARTHUR       | 0.3885     s | 0.8299    s | 0.3800    s | 0.9300   s | 0.00852   s | 0.10008  s | SAFE    
AoBx               | RALPH        | 0.7945     s | 1.4251    s | 0.7800    s | 1.4300   s | 0.01453   s | 0.00494  s | SAFE    
AohA               | TOLD         | 0.5623     s | 0.8876    s | 0.3800    s | 0.5000   s | 0.18228   s | 0.38756  s | MISMATCH
AohA               | TO           | 0.9975     s | 1.1122    s | 0.5600    s | 0.6000   s | 0.43754   s | 0.51216  s | MISMATCH
AohA               | DO           | 1.1122     s | 1.2423    s | 0.6000    s | 0.7100   s | 0.51216   s | 0.53228  s | MISMATCH
AohA               | IT           | 1.2423     s | 1.4452    s | 0.7100    s | 0.7400   s | 0.53228   s | 0.70519  s | MISMATCH
ApSy               | STAR         | 0.2977     s | 0.8274    s | 0.2900    s | 0.8200   s | 0.00768   s | 0.00743  s | SAFE    
AuEM               | WIT          | 0.3083     s | 0.6560    s | 0.2800    s | 0.8900   s | 0.02834   s | 0.23396  s | FLAGGED 
AyGV               | THE          | 0.3543     s | 0.4502    s | 0.3200    s | 0.4700   s | 0.03426   s | 0.01979  s | SAFE    
AyGV               | COURAGEOUS   | 0.4994     s | 1.0456    s | 0.4700    s | 1.0300   s | 0.02941   s | 0.01556  s | SAFE    
AyGV               | GYMNAST      | 1.0652     s | 1.5646    s | 1.0300    s | 1.6200   s | 0.03524   s | 0.05535  s | SAFE    
AyGV               | JUMPED       | 1.5646     s | 1.9583    s | 1.6200    s | 1.9800   s | 0.05535   s | 0.02173  s | SAFE    
AyGV               | OVER         | 2.0321     s | 2.2215    s | 2.0200    s | 2.2000   s | 0.01207   s | 0.02150  s | SAFE    
AyGV               | THE          | 2.2215     s | 2.3851    s | 2.2000    s | 2.3000   s | 0.02150   s | 0.08510  s | SAFE    
AyGV               | BURNING      | 2.3851     s | 2.6889    s | 2.3000    s | 2.6600   s | 0.08510   s | 0.02893  s | SAFE    
AyGV               | CAGE         | 2.6889     s | 3.0456    s | 2.6600    s | 3.1100   s | 0.02893   s | 0.06435  s | SAFE    
B16I               | WITNESS      | 0.3867     s | 1.1558    s | 0.3800    s | 1.1100   s | 0.00665   s | 0.04576  s | SAFE    
BClw               | IT           | 0.2920     s | 0.4532    s | 0.2800    s | 0.3700   s | 0.01198   s | 0.08317  s | SAFE    
BClw               | WAS          | 0.4532     s | 0.6328    s | 0.3700    s | 0.5300   s | 0.08317   s | 0.10285  s | SAFE    
BClw               | QUITE        | 0.6712     s | 0.9063    s | 0.5300    s | 0.8800   s | 0.14116   s | 0.02633  s | FLAGGED 
BClw               | GOOD         | 0.9063     s | 1.1389    s | 0.8800    s | 1.2600   s | 0.02633   s | 0.12114  s | SAFE    
BIpu               | CHEER        | 0.5390     s | 0.9753    s | 0.5300    s | 1.0900   s | 0.00904   s | 0.11469  s | SAFE    
BOWK               | FAITH        | 0.3690     s | 0.9030    s | 0.3600    s | 1.1500   s | 0.00900   s | 0.24703  s | FLAGGED 
BQSN               | ATTRACTIVE   | 0.2739     s | 0.8512    s | 0.2700    s | 0.9400   s | 0.00389   s | 0.08879  s | SAFE    
BThR               | RIDGES       | 0.3709     s | 0.9368    s | 0.3600    s | 0.9500   s | 0.01093   s | 0.01323  s | SAFE    
BTyS               | WE           | 0.2610     s | 0.5059    s | 0.2500    s | 0.4000   s | 0.01096   s | 0.10588  s | SAFE    
BTyS               | BOTH         | 0.5059     s | 0.8295    s | 0.4000    s | 0.7200   s | 0.10588   s | 0.10952  s | SAFE    
BTyS               | HAD          | 0.8295     s | 1.0336    s | 0.7200    s | 0.9500   s | 0.10952   s | 0.08362  s | SAFE    
BTyS               | HANGOVERS    | 1.0642     s | 1.6357    s | 0.9500    s | 1.7400   s | 0.11424   s | 0.10428  s | SAFE    
BUsO               | HALF         | 0.8884     s | 1.4957    s | 0.8800    s | 2.0000   s | 0.00844   s | 0.50431  s | FLAGGED 
BXNj               | HER          | 0.2278     s | 0.4574    s | 0.0000    s | 0.0600   s | 0.22779   s | 0.39740  s | FLAGGED 
BXNj               | HUM          | 0.4574     s | 0.8328    s | 0.2100    s | 0.7800   s | 0.24740   s | 0.05280  s | FLAGGED 
BXNj               | BECAME       | 0.8328     s | 1.2191    s | 0.8300    s | 1.1600   s | 0.00280   s | 0.05913  s | SAFE    
BXNj               | A            | 1.2191     s | 1.2884    s | 1.1600    s | 1.2400   s | 0.05913   s | 0.04838  s | SAFE    
BXNj               | GURGLE       | 1.2884     s | 1.6073    s | 1.2400    s | 1.5800   s | 0.04838   s | 0.02729  s | SAFE    
BXNj               | OF           | 1.6073     s | 1.6975    s | 1.5800    s | 1.6800   s | 0.02729   s | 0.01749  s | SAFE    
BXNj               | SURPRISE     | 1.6975     s | 2.2068    s | 1.6800    s | 2.3400   s | 0.01749   s | 0.13317  s | FLAGGED 
BgCI               | DOING        | 0.3113     s | 0.7768    s | 0.3300    s | 0.9300   s | 0.01866   s | 0.15319  s | FLAGGED 
